componentTypeName,componentTypeId,specTypeId,specTypeName,units,valueType,specCategory,description,min,max,options,alternateNames,alternateUnits
Active Harmonic Filters,ea335283-29f2-4c92-bcb2-a16dfde0d377,12e83691-35e4-46c0-868b-29eba5cb0d08,Operating Frequency,Hz,NUMERIC,UNKNOWN,Operating Frequency,,,,[],[]
Active Harmonic Filters,ea335283-29f2-4c92-bcb2-a16dfde0d377,81572aca-63ee-4ef2-b79c-92dac2f875be,Operating Temperature Range,°C,NUMERIC,UNKNOWN,Operating Temperature Range,,,,[],[]
Active Harmonic Filters,ea335283-29f2-4c92-bcb2-a16dfde0d377,ad7d0587-44b3-4403-8550-042feb58894d,Rated Current,A,NUMERIC,UNKNOWN,Rated Current,,,,[],[]
Active Harmonic Filters,ea335283-29f2-4c92-bcb2-a16dfde0d377,b01b1ef5-da94-489c-b923-1ee4136e0992,Voltage Total Harmonic Distortion,%,NUMERIC,UNKNOWN,Voltage Total Harmonic Distortion,,,,[],[]
Active PF Correction,9d4db7a9-a3a3-4070-9a83-ff6a8641fffa,07861a47-8a1d-4747-bdd0-866eca82c89e,Current Rating,A,NUMERIC,UNKNOWN,Current Rating,,,,[],[]
Active PF Correction,9d4db7a9-a3a3-4070-9a83-ff6a8641fffa,72558232-067b-4d8a-b6e9-252ba8d5c102,kVAR Rating,kVAR,NUMERIC,PRIMARY_SIZE,The reactive power capacity of the active power factor correction system,,,[],"[""Reactive Power Capacity"",""PF Correction Capacity""]","[""MVAR""]"
Active PF Correction,9d4db7a9-a3a3-4070-9a83-ff6a8641fffa,2b6e2234-7ae9-4dd3-8c0d-6e3cfab702a4,Operating Voltage,V,NUMERIC,UNKNOWN,Operating Voltage,,,,[],[]
Active PF Correction,9d4db7a9-a3a3-4070-9a83-ff6a8641fffa,790c8bc7-66f0-4591-91ef-d602ab543e8c,Protection Rating,IP,NUMERIC,UNKNOWN,Protection Rating,,,,[],[]
Active PF Correction,9d4db7a9-a3a3-4070-9a83-ff6a8641fffa,56311271-f307-4387-b6fd-12a4c6f27501,Step Resolution,steps,NUMERIC,UNKNOWN,Step Resolution,,,,[],[]
Active PF Correction,9d4db7a9-a3a3-4070-9a83-ff6a8641fffa,84051154-4bde-4a04-825f-06e1cfd5ffd7,THD Compensation,%,NUMERIC,UNKNOWN,THD Compensation,,,,[],[]
Addressable Luminaire Lighting Controls,15544bc3-7177-40a8-87ec-1d9e76d0eead,311c6c23-a0d1-4afd-85a3-236acf26e6d2,Control Capacity,channels,NUMERIC,PRIMARY_SIZE,The number of separately controllable lighting channels or zones that the addressable luminaire control system can manage,,,[],"[""Number of Control Channels"",""Control Points""]","[""control points"",""zones""]"
Addressable Luminaire Lighting Controls,15544bc3-7177-40a8-87ec-1d9e76d0eead,73648d15-b73b-4f95-97c4-be806e3940e9,Current Draw,A,NUMERIC,UNKNOWN,Current Draw,,,,[],[]
Addressable Luminaire Lighting Controls,15544bc3-7177-40a8-87ec-1d9e76d0eead,f233ecb6-11f0-48aa-9649-53745b51553d,IP Rating,IP20,NUMERIC,UNKNOWN,IP Rating,,,,[],[]
Addressable Luminaire Lighting Controls,15544bc3-7177-40a8-87ec-1d9e76d0eead,f49a76f3-5793-400c-b181-5fd32ee91f71,Load Capacity,W,NUMERIC,UNKNOWN,Load Capacity,,,,[],[]
Addressable Luminaire Lighting Controls,15544bc3-7177-40a8-87ec-1d9e76d0eead,56a645c7-d9e2-47d4-8aef-d34aa89e1be1,Operating Voltage,V,NUMERIC,UNKNOWN,Operating Voltage,,,,[],[]
Advanced Air Treatment Systems,b52c4420-9ce7-42b0-b70b-518a0f27df36,9610d243-8147-4241-9153-d43076419a5d,Airflow Rate,CFM,NUMERIC,PRIMARY_SIZE,The volume of air that the advanced air treatment system can process per unit of time,,,[],"[""Flow Rate"",""Air Volume""]","[""m³/h"",""L/s""]"
Advanced Air Treatment Systems,b52c4420-9ce7-42b0-b70b-518a0f27df36,7cbc2844-4476-427c-b008-a9169c732470,Clean Air Delivery Rate,CFM,NUMERIC,UNKNOWN,Clean Air Delivery Rate,,,,[],[]
Advanced Air Treatment Systems,b52c4420-9ce7-42b0-b70b-518a0f27df36,a3098ce0-add9-4e93-a3e8-b91bbfe384d0,Ion Output,ions/cm³,NUMERIC,UNKNOWN,Ion Output,,,,[],[]
Advanced Air Treatment Systems,b52c4420-9ce7-42b0-b70b-518a0f27df36,43e8bd0a-517e-4005-9975-d2e06d956b42,Noise Level,dB,NUMERIC,UNKNOWN,Noise Level,,,,[],[]
Advanced Air Treatment Systems,b52c4420-9ce7-42b0-b70b-518a0f27df36,6cf40d7e-c048-4277-b9da-731c6b98a703,Oxidation Rate,mg/h,NUMERIC,UNKNOWN,Oxidation Rate,,,,[],[]
Advanced Air Treatment Systems,b52c4420-9ce7-42b0-b70b-518a0f27df36,f29968b4-a601-4679-9750-59f46691ec7f,Pathogen Removal Rate,%,NUMERIC,UNKNOWN,Pathogen Removal Rate,,,,[],[]
Advanced Air Treatment Systems,b52c4420-9ce7-42b0-b70b-518a0f27df36,442cd7e0-f739-4c00-b5d2-8b886f7f19df,Room Coverage Area,ft²,NUMERIC,UNKNOWN,Room Coverage Area,,,,[],[]
Advanced Air Treatment Systems,b52c4420-9ce7-42b0-b70b-518a0f27df36,a24683ee-cb4e-4335-93fd-acc4984d2c55,Treatment Efficiency,%,NUMERIC,UNKNOWN,Treatment Efficiency,,,,[],[]
Advanced Air Treatment Systems,b52c4420-9ce7-42b0-b70b-518a0f27df36,8d0ae115-bd57-4e5e-96f5-db41436e52a5,VOC Removal Rate,%,NUMERIC,UNKNOWN,VOC Removal Rate,,,,[],[]
Advanced Heat Pump Systems,ff75bdcf-ae42-4432-ba86-1d169eab66a8,fdde7a8d-289d-4f31-9d90-20a8fa1b22e4,Coefficient of Performance - Cooling,dimensionless,NUMERIC,UNKNOWN,Coefficient of Performance - Cooling,,,,[],[]
Advanced Heat Pump Systems,ff75bdcf-ae42-4432-ba86-1d169eab66a8,6313ee11-d54f-4760-a5c6-e8ea1cd31a0b,Coefficient of Performance - Heating,dimensionless,NUMERIC,UNKNOWN,Coefficient of Performance - Heating,,,,[],[]
Advanced Heat Pump Systems,ff75bdcf-ae42-4432-ba86-1d169eab66a8,d40dbb06-5cfe-48a4-8665-8a9bd2f556bf,Cooling Capacity,Tons,NUMERIC,PRIMARY_SIZE,The rated cooling output capacity of the heat pump system,,,[],"[""Nominal Capacity"",""Rated Capacity""]","[""BTU/h"",""kW"",""MBH""]"
Advanced Heat Pump Systems,ff75bdcf-ae42-4432-ba86-1d169eab66a8,145b30ae-d9a6-4a23-93be-32b2d2291093,Current Draw,A,NUMERIC,UNKNOWN,Current Draw,,,,[],[]
Advanced Heat Pump Systems,ff75bdcf-ae42-4432-ba86-1d169eab66a8,aa56c312-f96d-463a-bac7-931f8e924f9a,Heating Seasonal Performance Factor,BTU/Wh,NUMERIC,UNKNOWN,Heating Seasonal Performance Factor,,,,[],[]
Advanced Heat Pump Systems,ff75bdcf-ae42-4432-ba86-1d169eab66a8,71ba3030-14b9-4f0b-bf72-1199b51ca70b,Seasonal Energy Efficiency Ratio,BTU/Wh,NUMERIC,UNKNOWN,Seasonal Energy Efficiency Ratio,,,,[],[]
Advanced Heat Pump Systems,ff75bdcf-ae42-4432-ba86-1d169eab66a8,26cb0cc8-ce0f-4ba5-adef-4c816ebb00d3,Water Flow Rate,GPM,NUMERIC,UNKNOWN,Water Flow Rate,,,,[],[]
Air Coils,24074cf0-d09f-4f23-b6e5-866c864d4844,dedd3b0d-698c-4d84-b27a-6806428e0934,Air Flow Rate,CFM,NUMERIC,UNKNOWN,Air Flow Rate,,,,[],[]
Air Coils,24074cf0-d09f-4f23-b6e5-866c864d4844,7e943c2c-da01-47a2-9a60-e541dd945b25,Capacity,MBH,NUMERIC,PRIMARY_SIZE,Thermal capacity of the air coil that determines its heat transfer capability,,,[],"[""Heating/Cooling Capacity"",""Coil Capacity""]","[""BTU/h"",""kW""]"
Air Coils,24074cf0-d09f-4f23-b6e5-866c864d4844,0e49ffc0-8518-4e9b-ad3e-bb2d3ff78034,Face Area,ft²,NUMERIC,UNKNOWN,Face Area,,,,[],[]
Air Coils,24074cf0-d09f-4f23-b6e5-866c864d4844,210c7282-635d-4cd9-a964-aace762ba810,Fin Spacing,fins/inch,NUMERIC,UNKNOWN,Fin Spacing,,,,[],[]
Air Coils,24074cf0-d09f-4f23-b6e5-866c864d4844,6c6d3c6f-ceed-4dec-a157-f48dda8723c5,Fin Thickness,in,NUMERIC,UNKNOWN,Fin Thickness,,,,[],[]
Air Coils,24074cf0-d09f-4f23-b6e5-866c864d4844,836e5be8-ada2-4239-9726-c2e84a4ded5a,Fluid Flow Rate,GPM,NUMERIC,UNKNOWN,Fluid Flow Rate,,,,[],[]
Air Coils,24074cf0-d09f-4f23-b6e5-866c864d4844,80662c8c-6820-41a3-b9a1-5ec77ced364d,Maximum Working Temperature,°F,NUMERIC,UNKNOWN,Maximum Working Temperature,,,,[],[]
Air Coils,24074cf0-d09f-4f23-b6e5-866c864d4844,8fbf816f-b7f0-4708-bb56-d1869881e10a,Number of Rows,rows,NUMERIC,UNKNOWN,Number of Rows,,,,[],[]
Air Coils,24074cf0-d09f-4f23-b6e5-866c864d4844,e98a8333-c0cc-4279-a909-8249e8e5242f,Tube Diameter,in,NUMERIC,UNKNOWN,Tube Diameter,,,,[],[]
Air Compressors,443c24bf-462f-46d6-9671-31ade4aa5eae,7c6d3aa9-2c25-47b9-a2a1-b5ccd6bdc644,Capacity,SCFM,NUMERIC,PRIMARY_SIZE,"The volume of air the compressor can deliver at a specific pressure, which is the primary indicator of the compressor's size and cost",,,[],"[""Flow Rate"",""Air Output""]","[""CFM"",""m³/min"",""L/min""]"
Air Compressors,443c24bf-462f-46d6-9671-31ade4aa5eae,850e7550-c09d-4ced-aeb3-6c70a56bb5dc,Discharge Pressure,PSI,NUMERIC,UNKNOWN,Discharge Pressure,,,,[],[]
Air Compressors,443c24bf-462f-46d6-9671-31ade4aa5eae,65c445db-9013-443e-8cfd-6c4a6c950cef,Efficiency,%,NUMERIC,UNKNOWN,Efficiency,,,,[],[]
Air Compressors,443c24bf-462f-46d6-9671-31ade4aa5eae,aa2f592e-e931-4fe2-8aa0-4744024ff48e,Maximum Pressure,PSI,NUMERIC,UNKNOWN,Maximum Pressure,,,,[],[]
Air Compressors,443c24bf-462f-46d6-9671-31ade4aa5eae,c3afc85f-474f-4de8-b720-59a4a2dd05aa,Oil Capacity,gal,NUMERIC,UNKNOWN,Oil Capacity,,,,[],[]
Air Compressors,443c24bf-462f-46d6-9671-31ade4aa5eae,9feec9ad-1248-420c-8f87-739bf119935e,Operating Voltage,V,NUMERIC,UNKNOWN,Operating Voltage,,,,[],[]
Air Compressors,443c24bf-462f-46d6-9671-31ade4aa5eae,d0625810-82cb-409a-b4a2-97997c68c914,Power,HP,NUMERIC,UNKNOWN,Power,,,,[],[]
Air-Cooled Centrifugal Water Chillers,a582b495-0662-4d61-8049-848bec00cf9e,0b6f5fc0-c0d4-4858-bf4f-5a53d0c8a420,Ambient Temperature Operating Range,°F,NUMERIC,UNKNOWN,Ambient Temperature Operating Range,,,,[],[]
Air-Cooled Centrifugal Water Chillers,a582b495-0662-4d61-8049-848bec00cf9e,4ca98b0e-6e88-467b-b7d9-e80609c7a71e,Cooling Capacity,tons,NUMERIC,PRIMARY_SIZE,"The amount of heat that the chiller can remove from the chilled water loop, representing the cooling power of the unit",,,[],"[""Capacity"",""Nominal Cooling Capacity""]","[""BTU/h"",""kW"",""MBH""]"
Air-Cooled Centrifugal Water Chillers,a582b495-0662-4d61-8049-848bec00cf9e,6e35c55e-4df7-44e6-9394-8b992b94b01a,Electrical Characteristics,V/Ph/Hz,NUMERIC,UNKNOWN,Electrical Characteristics,,,,[],[]
Air-Cooled Centrifugal Water Chillers,a582b495-0662-4d61-8049-848bec00cf9e,f34f8da9-b7a3-4ff3-a07b-d89805929a3d,Entering Chilled Water Temperature,°F,NUMERIC,UNKNOWN,Entering Chilled Water Temperature,,,,[],[]
Air-Cooled Centrifugal Water Chillers,a582b495-0662-4d61-8049-848bec00cf9e,de568976-4528-4b2f-968b-874fc4e025d4,Full Load Amperage,A,NUMERIC,UNKNOWN,Full Load Amperage,,,,[],[]
Air-Cooled Centrifugal Water Chillers,a582b495-0662-4d61-8049-848bec00cf9e,aa4d9958-692b-4606-a089-bd3f7697aadd,Operating Weight,lbs,NUMERIC,UNKNOWN,Operating Weight,,,,[],[]
Air-Cooled Centrifugal Water Chillers,a582b495-0662-4d61-8049-848bec00cf9e,a056e469-f5da-4825-b960-67c4aa56e1e8,Refrigerant Type,text,NUMERIC,UNKNOWN,Refrigerant Type,,,,[],[]
"Air-Cooled, Modular Water Chillers",ea8a7fb8-9f1e-4d8c-bde7-b67521b51aea,1ec2119d-bfb8-4328-b7e2-9daf7b307bc0,Ambient Temperature Range,°F,NUMERIC,UNKNOWN,Ambient Temperature Range,,,,[],[]
"Air-Cooled, Modular Water Chillers",ea8a7fb8-9f1e-4d8c-bde7-b67521b51aea,e1ac1dd3-fe67-43bd-8d1f-2ca68fcbd467,Cooling Capacity,tons,NUMERIC,PRIMARY_SIZE,"The rate at which the chiller can remove heat from the water, determining the chiller's output and size classification",,,[],"[""Capacity"",""Nominal Capacity""]","[""BTU/h"",""kW"",""MBH""]"
"Air-Cooled, Modular Water Chillers",ea8a7fb8-9f1e-4d8c-bde7-b67521b51aea,7f283eaf-c68b-4e53-afee-bc627b793bb8,Maximum Overcurrent Protection,A,NUMERIC,UNKNOWN,Maximum Overcurrent Protection,,,,[],[]
"Air-Cooled, Modular Water Chillers",ea8a7fb8-9f1e-4d8c-bde7-b67521b51aea,fe89280f-d65a-42db-be46-ae35c87b461e,Minimum Circuit Ampacity,A,NUMERIC,UNKNOWN,Minimum Circuit Ampacity,,,,[],[]
"Air-Cooled, Rotary-Screw Water Chillers",35fba7ff-a70d-439e-a8f1-feab6f7c4a6e,a32a7928-4fe9-4d30-9e6e-5ebea47cce69,Air Flow,CFM,NUMERIC,UNKNOWN,Air Flow,,,,[],[]
"Air-Cooled, Rotary-Screw Water Chillers",35fba7ff-a70d-439e-a8f1-feab6f7c4a6e,4322ab5b-ce16-4307-9694-73c62db22a5b,Ambient Temperature Range,°F,NUMERIC,UNKNOWN,Ambient Temperature Range,,,,[],[]
"Air-Cooled, Rotary-Screw Water Chillers",35fba7ff-a70d-439e-a8f1-feab6f7c4a6e,8b34e521-ff96-4967-87ed-42c72e9e455a,Condenser Dimensions,in,NUMERIC,UNKNOWN,Condenser Dimensions,,,,[],[]
"Air-Cooled, Rotary-Screw Water Chillers",35fba7ff-a70d-439e-a8f1-feab6f7c4a6e,e6018810-3f44-48f6-88ed-7a3c594ce6ca,Condenser Fan Power,HP,NUMERIC,UNKNOWN,Condenser Fan Power,,,,[],[]
"Air-Cooled, Rotary-Screw Water Chillers",35fba7ff-a70d-439e-a8f1-feab6f7c4a6e,ee9f0414-bf7f-4d2b-89b5-72e86e79ee61,Cooling Capacity,tons,NUMERIC,PRIMARY_SIZE,"The cooling capacity or refrigeration load that the chiller is designed to handle, which directly correlates to the equipment size and cost",,,[],"[""Nominal Capacity"",""Chiller Capacity""]","[""BTU/h"",""kW"",""MBH""]"
"Air-Cooled, Rotary-Screw Water Chillers",35fba7ff-a70d-439e-a8f1-feab6f7c4a6e,f11f392a-fa7e-4908-87af-2420fc16dc70,Current Draw,A,NUMERIC,UNKNOWN,Current Draw,,,,[],[]
"Air-Cooled, Rotary-Screw Water Chillers",35fba7ff-a70d-439e-a8f1-feab6f7c4a6e,7485343c-013b-4d90-ab22-f0b26c3707ee,Efficiency Rating,EER,NUMERIC,UNKNOWN,Efficiency Rating,,,,[],[]
"Air-Cooled, Rotary-Screw Water Chillers",35fba7ff-a70d-439e-a8f1-feab6f7c4a6e,7df963f5-1293-4b3f-8a7d-685a7992d890,Power Supply,V,NUMERIC,UNKNOWN,Power Supply,,,,[],[]
"Air-Cooled, Rotary-Screw Water Chillers",35fba7ff-a70d-439e-a8f1-feab6f7c4a6e,d21797a7-41dd-446e-9fc4-4fa85500370e,Refrigerant Type,text,NUMERIC,UNKNOWN,Refrigerant Type,,,,[],[]
"Air-Cooled, Rotary-Screw Water Chillers",35fba7ff-a70d-439e-a8f1-feab6f7c4a6e,d876eb15-def3-4a45-9b1a-b59c05d18470,Sound Rating,dBA,NUMERIC,UNKNOWN,Sound Rating,,,,[],[]
"Air-Cooled, Rotary-Screw Water Chillers",35fba7ff-a70d-439e-a8f1-feab6f7c4a6e,803dc8a9-34f5-4d37-869f-865b89f4cc7a,Weight,lb,NUMERIC,UNKNOWN,Weight,,,,[],[]
Air-Cooled Scroll Water Chillers,8dc47e93-c770-4f94-881e-d3d106bb06de,b75fb69b-0f62-4cac-aa36-e7c927a32596,Ambient Temperature Range,°F,NUMERIC,UNKNOWN,Ambient Temperature Range,,,,[],[]
Air-Cooled Scroll Water Chillers,8dc47e93-c770-4f94-881e-d3d106bb06de,60dff8f9-8fcd-4355-b4d3-50397507ba95,Chilled Water Flow,GPM,NUMERIC,UNKNOWN,Chilled Water Flow,,,,[],[]
Air-Cooled Scroll Water Chillers,8dc47e93-c770-4f94-881e-d3d106bb06de,da2de1e2-2675-4f0a-b783-d4f9c3442387,Cooling Capacity,tons,NUMERIC,PRIMARY_SIZE,The rated cooling capacity of the air-cooled scroll water chiller,,,[],"[""Capacity"",""Nominal Capacity""]","[""BTU/h"",""kW""]"
Air-Cooled Scroll Water Chillers,8dc47e93-c770-4f94-881e-d3d106bb06de,d7df4373-e5cd-4e34-a392-27587d080886,Entering Water Temperature,°F,NUMERIC,UNKNOWN,Entering Water Temperature,,,,[],[]
Air-Cooled Scroll Water Chillers,8dc47e93-c770-4f94-881e-d3d106bb06de,4252be83-5383-485d-9b59-f0942f4609ec,Leaving Water Temperature,°F,NUMERIC,UNKNOWN,Leaving Water Temperature,,,,[],[]
Air-Cooled Scroll Water Chillers,8dc47e93-c770-4f94-881e-d3d106bb06de,2864e070-2ff1-4329-bd85-c0bf0da56713,Number of Compressors,integer,NUMERIC,UNKNOWN,Number of Compressors,,,,[],[]
Air-Cooled Scroll Water Chillers,8dc47e93-c770-4f94-881e-d3d106bb06de,7db62b35-f0ca-447b-8ec0-ff7331d117af,Refrigerant Type,string,NUMERIC,UNKNOWN,Refrigerant Type,,,,[],[]
Air-Cooled Scroll Water Chillers,8dc47e93-c770-4f94-881e-d3d106bb06de,4083e6a7-347b-493a-827f-a93b86b85d67,Sound Pressure Level,dBA,NUMERIC,UNKNOWN,Sound Pressure Level,,,,[],[]
Air Curtains,522794c3-499d-4366-95f1-89215315c894,c7450383-d685-4d04-8743-c719d5c980eb,Air Flow Rate,CFM,NUMERIC,UNKNOWN,Air Flow Rate,,,,[],[]
Air Curtains,522794c3-499d-4366-95f1-89215315c894,f8c84c7a-c535-4154-84ed-14618d7c8f64,Current Draw,A,NUMERIC,UNKNOWN,Current Draw,,,,[],[]
Air Curtains,522794c3-499d-4366-95f1-89215315c894,71c39e8b-23e5-4ca7-9156-64b031ca1ec2,Door Width,ft,NUMERIC,UNKNOWN,Door Width,,,,[],[]
Air Curtains,522794c3-499d-4366-95f1-89215315c894,45307b8a-8ac6-43b9-b00e-96c45dd8fd34,Mounting Height,ft,NUMERIC,UNKNOWN,Mounting Height,,,,[],[]
Air Curtains,522794c3-499d-4366-95f1-89215315c894,7b132af7-6b58-4d59-bb7e-b4b346a26c5d,Power Input,W,NUMERIC,UNKNOWN,Power Input,,,,[],[]
Air Curtains,522794c3-499d-4366-95f1-89215315c894,eb5f4d7e-9cfd-41c2-985d-6f998c89fd54,Protection Rating,IP,NUMERIC,UNKNOWN,Protection Rating,,,,[],[]
Air Curtains,522794c3-499d-4366-95f1-89215315c894,92b72788-e5d3-4d5c-bf84-be20e2a532c9,Width,ft,NUMERIC,PRIMARY_SIZE,The horizontal length of the air curtain unit that corresponds to the width of the door or opening it is designed to cover,,,[],"[""Door Width"",""Opening Width""]","[""in"",""m"",""mm""]"
Air Distribution,55d6a4cb-4cb4-4aaa-8808-6d94742ccaed,d78c089d-2c6b-4533-95fd-d7178ec95be3,Air Flow,CFM,NUMERIC,UNKNOWN,Air Flow,,,,[],[]
Air Distribution,55d6a4cb-4cb4-4aaa-8808-6d94742ccaed,5b9e4507-0c65-4ae7-bcfb-7f480f8b377c,Airflow Rate,CFM,NUMERIC,PRIMARY_SIZE,The volume of air that moves through the air distribution system per unit of time,,,[],"[""Air Volume"",""Flow Rate""]","[""L/s"",""m³/h""]"
Air Distribution,55d6a4cb-4cb4-4aaa-8808-6d94742ccaed,c252aa09-1f95-4220-80d9-7d3fc5b1c4fd,Air Velocity,ft/min,NUMERIC,UNKNOWN,Air Velocity,,,,[],[]
Air Distribution,55d6a4cb-4cb4-4aaa-8808-6d94742ccaed,2b2f3cdd-f926-4cf1-aa0d-0cf757d7e839,Duct Size,in,NUMERIC,UNKNOWN,Duct Size,,,,[],[]
Air Distribution,55d6a4cb-4cb4-4aaa-8808-6d94742ccaed,efa9b334-2ca1-4092-9da1-aa8f5026a2fe,Face Area,ft²,NUMERIC,UNKNOWN,Face Area,,,,[],[]
